Population	Gene	0	140	240	335	415	505	585	665	745	825	910	1000
BYB1-B01	UBX5	0.0	0.0	0.0	0.94	1.0	1.0	1.0	0.96	1.0	0.99	1.0	1.0
BYB1-B01	CST6	0.0	0.05	0.63	0.97	1.0	1.0	1.0	1.0	1.0	0.99	0.99	1.0
BYB1-B01	NSE5	0.0	0.0	0.0	0.94	1.0	0.99	1.0	1.0	1.0	1.0	1.0	1.0
BYB1-B01	TRS130	0.0	0.07	0.49	0.96	1.0	0.99	1.0	1.0	1.0	1.0	0.99	1.0
BYB1-B01	SFL1	0.0	0.0	0.0	0.9	0.93	0.98	0.95	0.95	0.95	0.94	0.9	0.93
BYB1-C05	VPS15	0.0	0.0	0.0	0.33	0.93	0.94	0.94	0.82	0.8	0.96	0.96	0.98
BYB1-C05	IRA1	0.0	0.02	0.05	0.52	0.89	0.86	0.93	0.81	0.91	0.91	0.93	0.97
BYB1-C05	Intergenic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.1	0.2
BYB1-C05	ANP1	0.0	0.0	0.0	0.01	0.03	0.07	0.11	0.12	0.11	0.05	0.03	0.02
BYB1-C05	Intergenic	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.14	0.18	0.34
BYB1-C05	TIR3	0.01	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.12	0.29	0.47
BYB1-C05	YJL171C	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.01	0.02	0.28	0.46
BYB1-C05	Intergenic	0.0	0.0	0.0	0.05	0.05	0.04	0.08	0.08	0.07	0.04	0.25	0.51
BYB1-C05	YLR177W	0.0	0.0	0.0	0.41	0.77	0.88	0.9	0.77	0.93	0.93	0.95	0.97
BYB1-C05	STE11	0.0	0.0	0.0	0.0	0.04	0.08	0.16	0.21	0.29	0.54	0.41	0.28
BYB1-C05	KEL3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.03	0.13
BYB1-C05	Intergenic	0.0	0.0	0.0	0.01	0.0	0.0	0.01	0.0	0.0	0.02	0.12	0.2
